group	sample_id	input_bam	output_bam	total_R1_proper	mapq30_primary	kept_high_quality	percent_kept_of_total_R1_proper	percent_kept_of_mapq30_primary
healthy	seq047854	data/EDTA_WGS_hc/seq047854.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047854.high_quality.R1.bam	29129335	29129335	29111741	99.939600	99.939600
healthy	seq047877	data/EDTA_WGS_hc/seq047877.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047877.high_quality.R1.bam	37569609	37569609	37547926	99.942286	99.942286
healthy	seq047894	data/EDTA_WGS_hc/seq047894.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047894.high_quality.R1.bam	23086209	23086209	23072185	99.939254	99.939254
healthy	seq047898	data/EDTA_WGS_hc/seq047898.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq047898.high_quality.R1.bam	29601081	29601081	29583090	99.939222	99.939222
healthy	seq048030	data/EDTA_WGS_hc/seq048030.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq048030.high_quality.R1.bam	27338323	27338323	27312009	99.903747	99.903747
healthy	seq048091	data/EDTA_WGS_hc/seq048091.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq048091.high_quality.R1.bam	35924942	35924942	35890164	99.903193	99.903193
healthy	seq048117	data/EDTA_WGS_hc/seq048117.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq048117.high_quality.R1.bam	27709623	27709623	27686506	99.916574	99.916574
healthy	seq048120	data/EDTA_WGS_hc/seq048120.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq048120.high_quality.R1.bam	41665372	41665372	41624936	99.902951	99.902951
healthy	seq048355	data/EDTA_WGS_hc/seq048355.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq048355.high_quality.R1.bam	31912847	31912847	31896559	99.948961	99.948961
healthy	seq052440	data/EDTA_WGS_hc/seq052440.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052440.high_quality.R1.bam	29479771	29479771	29460401	99.934294	99.934294
healthy	seq052445	data/EDTA_WGS_hc/seq052445.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052445.high_quality.R1.bam	29510391	29510391	29491634	99.936439	99.936439
healthy	seq052446	data/EDTA_WGS_hc/seq052446.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052446.high_quality.R1.bam	24038393	24038393	24022839	99.935295	99.935295
healthy	seq052448	data/EDTA_WGS_hc/seq052448.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052448.high_quality.R1.bam	31129241	31129241	31109179	99.935553	99.935553
healthy	seq052449	data/EDTA_WGS_hc/seq052449.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052449.high_quality.R1.bam	24350191	24350191	24334522	99.935651	99.935651
healthy	seq052451	data/EDTA_WGS_hc/seq052451.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052451.high_quality.R1.bam	26822712	26822712	26805515	99.935886	99.935886
healthy	seq052453	data/EDTA_WGS_hc/seq052453.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052453.high_quality.R1.bam	30230158	30230158	30210757	99.935822	99.935822
healthy	seq052454	data/EDTA_WGS_hc/seq052454.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052454.high_quality.R1.bam	25549632	25549632	25520757	99.886985	99.886985
healthy	seq052460	data/EDTA_WGS_hc/seq052460.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052460.high_quality.R1.bam	27981456	27981456	27963299	99.935111	99.935111
healthy	seq052636	data/EDTA_WGS_hc/seq052636.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052636.high_quality.R1.bam	22814354	22814354	22804988	99.958947	99.958947
healthy	seq052637	data/EDTA_WGS_hc/seq052637.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052637.high_quality.R1.bam	26895810	26895810	26884612	99.958365	99.958365
healthy	seq052638	data/EDTA_WGS_hc/seq052638.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052638.high_quality.R1.bam	24550490	24550490	24540430	99.959023	99.959023
healthy	seq052640	data/EDTA_WGS_hc/seq052640.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052640.high_quality.R1.bam	25707091	25707091	25696309	99.958058	99.958058
healthy	seq052641	data/EDTA_WGS_hc/seq052641.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052641.high_quality.R1.bam	21789129	21789129	21746780	99.805642	99.805642
healthy	seq052643	data/EDTA_WGS_hc/seq052643.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052643.high_quality.R1.bam	26130915	26130915	26120317	99.959443	99.959443
healthy	seq052644	data/EDTA_WGS_hc/seq052644.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052644.high_quality.R1.bam	24151131	24151131	24141401	99.959712	99.959712
healthy	seq052648	data/EDTA_WGS_hc/seq052648.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052648.high_quality.R1.bam	24761130	24761130	24751033	99.959222	99.959222
healthy	seq052650	data/EDTA_WGS_hc/seq052650.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052650.high_quality.R1.bam	27437733	27437733	27426474	99.958965	99.958965
healthy	seq052651	data/EDTA_WGS_hc/seq052651.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052651.high_quality.R1.bam	29380632	29380632	29368415	99.958418	99.958418
healthy	seq052652	data/EDTA_WGS_hc/seq052652.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052652.high_quality.R1.bam	25112226	25112226	25101976	99.959183	99.959183
healthy	seq052915	data/EDTA_WGS_hc/seq052915.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052915.high_quality.R1.bam	16155303	16155303	16141897	99.917018	99.917018
healthy	seq052916	data/EDTA_WGS_hc/seq052916.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052916.high_quality.R1.bam	34069850	34069850	34041742	99.917499	99.917499
healthy	seq052925	data/EDTA_WGS_hc/seq052925.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052925.high_quality.R1.bam	23011226	23011226	22992743	99.919678	99.919678
healthy	seq052926	data/EDTA_WGS_hc/seq052926.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052926.high_quality.R1.bam	20294408	20294408	20278116	99.919722	99.919722
healthy	seq052928	data/EDTA_WGS_hc/seq052928.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052928.high_quality.R1.bam	28972444	28972444	28948399	99.917007	99.917007
healthy	seq052929	data/EDTA_WGS_hc/seq052929.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052929.high_quality.R1.bam	23815278	23815278	23796123	99.919568	99.919568
healthy	seq052930	data/EDTA_WGS_hc/seq052930.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052930.high_quality.R1.bam	19660141	19660141	19644161	99.918719	99.918719
healthy	seq052931	data/EDTA_WGS_hc/seq052931.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052931.high_quality.R1.bam	22870276	22870276	22852214	99.921024	99.921024
healthy	seq052932	data/EDTA_WGS_hc/seq052932.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052932.high_quality.R1.bam	28789465	28789465	28765914	99.918196	99.918196
healthy	seq052934	data/EDTA_WGS_hc/seq052934.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052934.high_quality.R1.bam	25885441	25885441	25863852	99.916598	99.916598
healthy	seq052936	data/EDTA_WGS_hc/seq052936.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052936.high_quality.R1.bam	24662707	24662707	24643032	99.920224	99.920224
healthy	seq052940	data/EDTA_WGS_hc/seq052940.bam	data/EDTA_WGS_high_quality/EDTA_WGS_hc/seq052940.high_quality.R1.bam	25504474	25504474	25411162	99.634135	99.634135
